Test,H0+_J5_avgtime,H0+_J5_rej,H0+_J5_rej_sd,H0-_J5_avgtime,H0-_J5_rej,H0-_J5_rej_sd,H1_J5_avgtime,H1_J5_rej,H1_J5_rej_sd,H0+_J10_avgtime,H0+_J10_rej,H0+_J10_rej_sd,H0-_J10_avgtime,H0-_J10_rej,H0-_J10_rej_sd,H1_J10_avgtime,H1_J10_rej,H1_J10_rej_sd,H0+_J15_avgtime,H0+_J15_rej,H0+_J15_rej_sd,H0-_J15_avgtime,H0-_J15_rej,H0-_J15_rej_sd,H1_J15_avgtime,H1_J15_rej,H1_J15_rej_sd,H0+_J20_avgtime,H0+_J20_rej,H0+_J20_rej_sd,H0-_J20_avgtime,H0-_J20_rej,H0-_J20_rej_sd,H1_J20_avgtime,H1_J20_rej,H1_J20_rej_sd,H0+_J25_avgtime,H0+_J25_rej,H0+_J25_rej_sd,H0-_J25_avgtime,H0-_J25_rej,H0-_J25_rej_sd,H1_J25_avgtime,H1_J25_rej,H1_J25_rej_sd,H0+_J30_avgtime,H0+_J30_rej,H0+_J30_rej_sd,H0-_J30_avgtime,H0-_J30_rej,H0-_J30_rej_sd,H1_J30_avgtime,H1_J30_rej,H1_J30_rej_sd,H0+_J35_avgtime,H0+_J35_rej,H0+_J35_rej_sd,H0-_J35_avgtime,H0-_J35_rej,H0-_J35_rej_sd,H1_J35_avgtime,H1_J35_rej,H1_J35_rej_sd,H0+_J40_avgtime,H0+_J40_rej,H0+_J40_rej_sd,H0-_J40_avgtime,H0-_J40_rej,H0-_J40_rej_sd,H1_J40_avgtime,H1_J40_rej,H1_J40_rej_sd,H0+_J45_avgtime,H0+_J45_rej,H0+_J45_rej_sd,H0-_J45_avgtime,H0-_J45_rej,H0-_J45_rej_sd,H1_J45_avgtime,H1_J45_rej,H1_J45_rej_sd,H0+_J50_avgtime,H0+_J50_rej,H0+_J50_rej_sd,H0-_J50_avgtime,H0-_J50_rej,H0-_J50_rej_sd,H1_J50_avgtime,H1_J50_rej,H1_J50_rej_sd
NMMD,0.1572438673810005,0.06,0.007509993342207435,0.1470268825019999,0.059,0.007451107300260815,0.146418167606,0.047,0.006692607862410586,0.20745832107699996,0.051,0.00695693898205238,0.209059243564,0.054,0.007147307185227175,0.21036345295799985,0.062,0.007626008130076967,0.27723939424400007,0.047,0.006692607862410586,0.2526359077609997,0.055,0.00720936890441875,0.25900872795899976,0.112,0.00997276290703835,0.3700233997419998,0.052,0.007021111023192838,0.366573240336,0.054,0.007147307185227175,0.3629455684950003,0.437,0.01568537535413163,0.46690702401100026,0.057,0.007331507348424334,0.44754569085699963,0.058,0.007391616873188166,0.4437056179669995,0.859,0.011005407761641547,0.6490082234520005,0.046,0.006624499981130651,0.6565460762449999,0.059,0.007451107300260815,0.6569113424770002,0.98,0.0044271887242357325,0.8255297040159991,0.053,0.00708456067798138,0.8205784706600001,0.056,0.007270763371201128,0.821780103929999,0.997,0.0017294507798720387,0.9436357931839997,0.056,0.007270763371201128,0.942632656916001,0.059,0.007451107300260815,0.9461111812760002,1.0,0.0,1.1234868131090008,0.052,0.007021111023192838,1.1196230311830004,0.05,0.006892024376045111,1.1235212380459987,1.0,0.0,1.341584644479003,0.062,0.007626008130076967,1.389259093266002,0.062,0.007626008130076967,1.3928575798049996,1.0,0.0
CW,0.15439480725799976,0.053,0.00708456067798138,0.14825260344900018,0.059,0.007451107300260815,0.1477606693079998,0.709,0.014363808687113596,0.22540027395800002,0.062,0.007626008130076967,0.22658405255800043,0.065,0.007795832219846705,0.22819126594099998,0.807,0.012480024038438387,0.29711106136900006,0.069,0.008014923580421713,0.2780075026040002,0.058,0.007391616873188166,0.2823351523610004,0.884,0.010126401137620413,0.34228284042200025,0.06,0.007509993342207435,0.34143690544999966,0.062,0.007626008130076967,0.32879275572800043,0.9,0.009486832980505136,0.38352191206800035,0.055,0.00720936890441875,0.3589650822339994,0.054,0.007147307185227175,0.35415491540799987,0.913,0.008912407082264588,0.4720367545979993,0.06,0.007509993342207435,0.47910144222300044,0.058,0.007391616873188166,0.47521942640000003,0.937,0.007683163410991592,0.561518459149,0.059,0.007451107300260815,0.5630177213360003,0.057,0.007331507348424334,0.5591715889800002,0.947,0.007084560677981384,0.6227431035920008,0.069,0.008014923580421713,0.6217960256300006,0.066,0.007851369307324678,0.6224054998879994,0.959,0.006270486424512857,0.6782321249190006,0.065,0.007795832219846705,0.6783646259759998,0.064,0.007739767438366608,0.6787892192869992,0.962,0.006046155803483734,0.7525284473410003,0.06,0.007509993342207435,0.783512670343999,0.063,0.007683163410991596,0.7941141145559999,0.968,0.005565608681896351
