Test,H0_d5_avgtime,H0_d5_rej,H0_d5_rej_sd,H1_d5_avgtime,H1_d5_rej,H1_d5_rej_sd,H0_d10_avgtime,H0_d10_rej,H0_d10_rej_sd,H1_d10_avgtime,H1_d10_rej,H1_d10_rej_sd,H0_d15_avgtime,H0_d15_rej,H0_d15_rej_sd,H1_d15_avgtime,H1_d15_rej,H1_d15_rej_sd,H0_d20_avgtime,H0_d20_rej,H0_d20_rej_sd,H1_d20_avgtime,H1_d20_rej,H1_d20_rej_sd
2SMMD,0.3064179215270004,0.05,0.006892024376045111,0.2847303867000002,0.85,0.011291589790636216,0.38957475179500034,0.039,0.006122009474020765,0.44069227366299957,0.736,0.013939296969359681,0.5283410212119998,0.044,0.006485676526007136,0.5309318521300002,0.667,0.01490338887635963,0.5341805188560006,0.041,0.006270486424512854,0.4284483921199999,0.626,0.015301111070768685
MMD,1.6883914270679998,0.045,0.0065555320150236475,1.6476525522899965,0.988,0.003443254274665176,2.6449528162960014,0.053,0.00708456067798138,3.1322009944000007,0.95,0.006892024376045114,4.197903928764998,0.054,0.007147307185227175,4.208316414821995,0.911,0.009004387819280108,5.684633989289,0.041,0.006270486424512854,4.267682183207996,0.874,0.010493998284733994
NMMD,0.5146636972499996,0.055,0.00720936890441875,0.49054023706999994,0.723,0.014151713677148785,1.07088962049,0.056,0.007270763371201128,1.3856968542170025,0.192,0.012455360291858283,2.1694976501129983,0.058,0.007391616873188166,2.1781049448110013,0.134,0.010772372069326236,3.155304349739996,0.055,0.00720936890441875,2.1576985376959987,0.111,0.00993373041711924
CW,0.5279841047620004,0.048,0.006759881655768835,0.5072202858139997,0.934,0.007851369307324675,1.0560711718340001,0.051,0.00695693898205238,1.3490951587849995,0.792,0.012834952278836098,2.053473529126,0.061,0.0075682891065286355,2.062430915445,0.654,0.015042739112276061,3.0196703642960037,0.076,0.008379976133617566,2.0871472311730015,0.558,0.01570464899321217
