H0_2SMMD_p,H0_2SMMD_rej,H0_2SMMD_time,H0_MMD_p,H0_MMD_rej,H0_MMD_time,H0_NMMD_p,H0_NMMD_rej,H0_NMMD_time,H0_CW_p,H0_CW_rej,H0_CW_time,H1_2SMMD_p,H1_2SMMD_rej,H1_2SMMD_time,H1_MMD_p,H1_MMD_rej,H1_MMD_time,H1_NMMD_p,H1_NMMD_rej,H1_NMMD_time,H1_CW_p,H1_CW_rej,H1_CW_time
0.40298507462686567,false,2.054104291,0.14427860696517414,false,3.234713191,0.4228855721393035,false,5.939250912,0.23383084577114427,false,2.538456238,0.014925373134328358,true,0.285523222,0.004975124378109453,true,1.621441611,0.009950248756218905,true,0.438363267,0.004975124378109453,true,0.4488177
0.5671641791044776,false,0.306489744,0.8656716417910447,false,1.691881656,0.736318407960199,false,0.482511466,0.12935323383084577,false,0.527928117,0.004975124378109453,true,0.283169394,0.004975124378109453,true,1.606057955,0.004975124378109453,true,0.425002237,0.004975124378109453,true,0.435664254
0.009950248756218905,true,0.322625858,0.21890547263681592,false,1.670484768,0.3681592039800995,false,0.485717686,0.03482587064676617,true,0.513985254,0.004975124378109453,true,0.280977241,0.004975124378109453,true,1.637830016,0.009950248756218905,true,0.439851103,0.004975124378109453,true,0.451619002
0.4079601990049751,false,0.308627329,0.31840796019900497,false,1.660616294,0.48756218905472637,false,0.484578458,0.5920398009950248,false,0.517113828,0.004975124378109453,true,0.278631926,0.004975124378109453,true,1.614377828,0.014925373134328358,true,0.427547504,0.01990049751243781,true,0.460788203
0.04975124378109453,true,0.309662315,0.0945273631840796,false,1.688054309,0.05472636815920398,false,0.509648381,0.05970149253731343,false,0.500764285,0.004975124378109453,true,0.283581786,0.004975124378109453,true,1.609993612,0.004975124378109453,true,0.421832042,0.004975124378109453,true,0.445695707
0.6865671641791045,false,0.310776386,0.8159203980099502,false,1.636521104,0.5671641791044776,false,0.481722542,0.6616915422885572,false,0.514064846,0.07960199004975124,false,0.281616617,0.004975124378109453,true,1.608905154,0.417910447761194,false,0.431397418,0.01990049751243781,true,0.437861736
0.3582089552238806,false,0.309717973,0.4527363184079602,false,1.741964401,0.4427860696517413,false,0.525653526,0.12935323383084577,false,0.543467538,0.004975124378109453,true,0.294146419,0.004975124378109453,true,1.603884088,0.004975124378109453,true,0.425458951,0.004975124378109453,true,0.437971755
0.9502487562189055,false,0.316491576,0.7711442786069652,false,1.639435716,0.5422885572139303,false,0.487416229,0.5074626865671642,false,0.514941393,0.004975124378109453,true,0.284515076,0.029850746268656716,true,1.610737675,0.27860696517412936,false,0.423117928,0.014925373134328358,true,0.450044617
0.1691542288557214,false,0.309275955,0.30845771144278605,false,1.724013271,0.6218905472636815,false,0.571128788,0.36318407960199006,false,0.543942535,0.004975124378109453,true,0.278440407,0.004975124378109453,true,1.60622026,0.004975124378109453,true,0.41891411,0.004975124378109453,true,0.444692166
0.46766169154228854,false,0.313524674,0.5174129353233831,false,1.644438146,0.19402985074626866,false,0.540426476,0.46766169154228854,false,0.611419855,0.004975124378109453,true,0.301691155,0.004975124378109453,true,1.627816546,0.004975124378109453,true,0.423915346,0.029850746268656716,true,0.448628297
0.8009950248756219,false,0.328314086,0.5024875621890548,false,1.70650275,0.2885572139303483,false,0.504059467,0.2835820895522388,false,0.52593949,0.004975124378109453,true,0.281111536,0.004975124378109453,true,1.621889117,0.004975124378109453,true,0.42476521,0.004975124378109453,true,0.449424615
0.8258706467661692,false,0.3060125,0.9850746268656716,false,1.667487034,0.9751243781094527,false,0.488867193,0.8407960199004975,false,0.515532559,0.004975124378109453,true,0.280811162,0.004975124378109453,true,1.631734748,0.01990049751243781,true,0.434005748,0.004975124378109453,true,0.451358863
0.5074626865671642,false,0.305968138,0.3383084577114428,false,1.709969982,0.736318407960199,false,0.497042752,0.21393034825870647,false,0.519959605,0.05970149253731343,false,0.281131735,0.004975124378109453,true,1.614537408,0.03980099502487562,true,0.437906544,0.004975124378109453,true,0.46564712
0.04975124378109453,true,0.304814119,0.19402985074626866,false,1.673391263,0.7562189054726368,false,0.500325299,0.5422885572139303,false,0.504718532,0.11940298507462686,false,0.295732927,0.004975124378109453,true,1.632850332,0.03980099502487562,true,0.420525488,0.004975124378109453,true,0.444739301
0.35323383084577115,false,0.315394503,0.681592039800995,false,1.69452409,0.472636815920398,false,0.50369246,0.17412935323383086,false,0.50318844,0.07960199004975124,false,0.281398443,0.004975124378109453,true,1.607603729,0.024875621890547265,true,0.417325042,0.004975124378109453,true,0.442153213
0.30845771144278605,false,0.311597011,0.3880597014925373,false,1.658079979,0.4975124378109453,false,0.498787839,0.39800995024875624,false,0.498329836,0.004975124378109453,true,0.282321957,0.004975124378109453,true,1.624084337,0.009950248756218905,true,0.443375519,0.004975124378109453,true,0.453049924
0.43283582089552236,false,0.310909873,0.5472636815920398,false,1.645481984,0.27860696517412936,false,0.483761349,0.6417910447761194,false,0.510332819,0.009950248756218905,true,0.285166846,0.004975124378109453,true,1.654633202,0.004975124378109453,true,0.442891995,0.014925373134328358,true,0.464465543
0.5373134328358209,false,0.307789508,0.2736318407960199,false,1.634873365,0.1044776119402985,false,0.490016647,0.5323383084577115,false,0.51851837,0.009950248756218905,true,0.281169676,0.009950248756218905,true,1.60476953,0.024875621890547265,true,0.419793471,0.05472636815920398,false,0.443788197
