X_inv_KCI_p,X_inv_KCI_rej,X_inv_KCI_time,Y_inv_KCI_p,Y_inv_KCI_rej,Y_inv_KCI_time,Z_inv_KCI_p,Z_inv_KCI_rej,Z_inv_KCI_time,NP_KCI_p,NP_KCI_rej,NP_KCI_time
0.04,true,0.077968737,0.205,false,0.079007829,0.12,false,0.072037866,0.045,true,0.073409182
0.0,true,0.074846024,0.07,false,0.073872039,0.06,false,0.068336185,0.115,false,0.074731575
0.0,true,0.075836568,0.06,false,0.072526481,0.065,false,0.072469056,0.06,false,0.069785223
0.155,false,0.077349404,0.095,false,0.071839432,0.105,false,0.070192226,0.14,false,0.072905557
0.0,true,0.076335302,0.07,false,0.073323734,0.115,false,0.068018323,0.115,false,0.077977685
0.0,true,0.071332661,0.17,false,0.067818693,0.135,false,0.069933571,0.095,false,0.073850454
0.09,false,0.072333423,0.115,false,0.074082462,0.11,false,0.070260698,0.11,false,0.069328515
0.12,false,0.071665783,0.02,true,0.07685574,0.14,false,0.068413864,0.05,true,0.071740106
0.1,false,0.078809696,0.07,false,0.07343161,0.05,true,0.0721188,0.17,false,0.070965651
0.065,false,0.072482363,0.05,true,0.072460892,0.06,false,0.070977378,0.17,false,0.068084347
0.105,false,0.07604791,0.135,false,0.071700046,0.055,false,0.065863896,0.11,false,0.072544672
0.155,false,0.073624806,0.11,false,0.072317515,0.18,false,0.066800199,0.0,true,0.073951653
0.035,true,0.072563852,0.095,false,0.077056049,0.075,false,0.067527628,0.065,false,0.067609274
0.0,true,0.074777812,0.05,true,0.074377056,0.0,true,0.069850395,0.03,true,0.071990272
0.06,false,0.079999863,0.125,false,0.071933816,0.13,false,0.071209419,0.13,false,0.072574038
0.1,false,0.078190111,0.165,false,0.067519454,0.09,false,0.069458229,0.095,false,0.072089702
0.13,false,0.071816707,0.025,true,0.070512361,0.17,false,0.067113287,0.13,false,0.070239146
0.07,false,0.072390743,0.19,false,0.071200447,0.0,true,0.071914753,0.13,false,0.073959885
0.0,true,0.073988178,0.19,false,0.072879962,0.14,false,0.07072101,0.135,false,0.073330471
0.075,false,0.072703247,0.04,true,0.075807583,0.13,false,0.0720592,0.085,false,0.069794974
0.09,false,0.07401843,0.05,true,0.069704949,0.12,false,0.073992028,0.16,false,0.067265255
0.145,false,0.080344521,0.0,true,0.078256505,0.125,false,0.069780392,0.0,true,0.072401349
0.15,false,0.075260791,0.06,false,0.069747835,0.18,false,0.068874679,0.14,false,0.071257647
0.0,true,0.075259981,0.095,false,0.07040632,0.095,false,0.073857817,0.12,false,0.077554913
0.105,false,0.079598648,0.1,false,0.079132325,0.1,false,0.071050063,0.095,false,0.071936497
0.06,false,0.076115292,0.05,true,0.069830587,0.065,false,0.068389528,0.085,false,0.070292259
0.11,false,0.073037777,0.085,false,0.074842274,0.055,false,0.067815048,0.09,false,0.070913827
0.11,false,0.075192214,0.03,true,0.070049239,0.11,false,0.071842181,0.13,false,0.07439247
0.0,true,0.076105066,0.08,false,0.077422523,0.085,false,0.07031211,0.095,false,0.083996792
0.05,true,0.073769319,0.07,false,0.074478745,0.145,false,0.071558025,0.145,false,0.086118514
0.1,false,0.072384399,0.065,false,0.073369628,0.185,false,0.072524265,0.0,true,0.073084448
0.04,true,0.067573067,0.115,false,0.076664688,0.08,false,0.06929947,0.08,false,0.069563737
0.025,true,0.074565057,0.125,false,0.076638183,0.11,false,0.069817591,0.125,false,0.072083745
0.0,true,0.073378768,0.105,false,0.071481928,0.165,false,0.079382813,0.165,false,0.073419506
0.035,true,0.069880855,0.12,false,0.070279015,0.06,false,0.069152637,0.0,true,0.071173665
0.08,false,0.073745682,0.095,false,0.073039272,0.0,true,0.070295982,0.1,false,0.076123772
0.145,false,0.07248704,0.21,false,0.072835462,0.16,false,0.067762701,0.115,false,0.072731167
0.175,false,0.071738884,0.04,true,0.074817552,0.15,false,0.070436556,0.055,false,0.068535003
0.145,false,0.078519317,0.305,false,0.07450419,0.155,false,0.071384242,0.175,false,0.070043716
0.11,false,0.076269554,0.17,false,0.071562762,0.11,false,0.070263828,0.125,false,0.074274616
0.15,false,0.073487664,0.06,false,0.070479502,0.055,false,0.070705951,0.16,false,0.081626245
0.145,false,0.08203579,0.11,false,0.072655268,0.06,false,0.073084184,0.125,false,0.079344303
0.065,false,0.079196116,0.155,false,0.07546665,0.07,false,0.07885489,0.135,false,0.078334638
0.11,false,0.080510523,0.145,false,0.074373276,0.09,false,0.074057329,0.05,true,0.07740069
0.11,false,0.082633206,0.035,true,0.073358402,0.125,false,0.077321997,0.025,true,0.0783498
0.0,true,0.073168546,0.04,true,0.072174168,0.09,false,0.073358825,0.085,false,0.074814624
0.0,true,0.075807654,0.135,false,0.074796005,0.115,false,0.072894521,0.12,false,0.0756649
0.145,false,0.069960089,0.105,false,0.076891203,0.09,false,0.072566407,0.145,false,0.076203412
0.075,false,0.066924432,0.175,false,0.078066624,0.1,false,0.073336784,0.17,false,0.082729635
0.07,false,0.074168541,0.22,false,0.072239803,0.075,false,0.076362386,0.14,false,0.075249801
0.15,false,0.072685846,0.08,false,0.069996628,0.0,true,0.076372911,0.06,false,0.078666524
0.075,false,0.065296318,0.15,false,0.068827554,0.11,false,0.077059208,0.135,false,0.072709539
0.025,true,0.070186179,0.145,false,0.066502734,0.05,true,0.080492964,0.035,true,0.07739323
