H0_KCI_p,H0_KCI_rej,H0_KCI_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time
0.275,false,0.022175934,0.045,true,0.021483723
0.265,false,0.021738338,0.05,true,0.0253603
0.175,false,0.021210881,0.0,true,0.023568088
0.18,false,0.021583675,0.025,true,0.023786565
0.31,false,0.023070047,0.005,true,0.024600478
0.185,false,0.021483343,0.01,true,0.024732682
0.5,false,0.02247077,0.01,true,0.024535042
0.185,false,0.023218141,0.015,true,0.02506058
0.21,false,0.022841355,0.005,true,0.024488637
0.345,false,0.022604836,0.0,true,0.024540082
0.115,false,0.022108632,0.005,true,0.024056115
0.505,false,0.022176223,0.01,true,0.024180265
0.175,false,0.022921275,0.04,true,0.025087536
0.29,false,0.021421042,0.13,false,0.024043821
0.485,false,0.022555343,0.01,true,0.025099967
0.385,false,0.021620131,0.0,true,0.024719548
0.385,false,0.021843252,0.01,true,0.024421484
0.54,false,0.022272024,0.05,true,0.024649574
0.14,false,0.021203655,0.02,true,0.02839887
0.56,false,0.026591218,0.015,true,0.021423489
0.22,false,0.022084849,0.045,true,0.022430314
0.41,false,0.021746124,0.01,true,0.021585936
0.22,false,0.020424458,0.005,true,0.022366026
0.31,false,0.020755723,0.0,true,0.021978387
0.48,false,0.021518125,0.01,true,0.021810165
0.36,false,0.02162197,0.145,false,0.021193364
0.23,false,0.020990916,0.015,true,0.021863974
0.4,false,0.022494874,0.035,true,0.022027626
0.45,false,0.02126553,0.01,true,0.022025877
0.185,false,0.020636911,0.0,true,0.022290624
0.505,false,0.021102352,0.13,false,0.022709137
0.44,false,0.021894672,0.015,true,0.022918377
0.265,false,0.021780772,0.055,false,0.022989756
0.535,false,0.021713015,0.095,false,0.022538977
0.065,false,0.021544494,0.005,true,0.022642092
0.25,false,0.021301667,0.08,false,0.022921277
0.32,false,0.021179562,0.14,false,0.021885869
0.175,false,0.021756086,0.005,true,0.023172139
0.075,false,0.021842616,0.045,true,0.023504496
0.45,false,0.020008377,0.005,true,0.021838065
0.38,false,0.021152504,0.01,true,0.02238446
0.1,false,0.02290655,0.065,false,0.022798225
0.37,false,0.022235281,0.0,true,0.023023085
0.26,false,0.022093567,0.075,false,0.028637526
0.38,false,0.022546378,0.015,true,0.021893812
0.575,false,0.023027693,0.01,true,0.022508624
0.45,false,0.022084161,0.06,false,0.022433858
0.03,true,0.021681431,0.08,false,0.022869785
0.235,false,0.020932178,0.01,true,0.022504149
0.33,false,0.022534833,0.075,false,0.022539474
0.24,false,0.021637514,0.1,false,0.022248428
0.36,false,0.021992387,0.105,false,0.021931128
0.27,false,0.023386227,0.005,true,0.022368328
0.475,false,0.021567719,0.015,true,0.022537195
0.225,false,0.020328852,0.04,true,0.023193909
0.315,false,0.020974846,0.005,true,0.022278541
0.215,false,0.022799301,0.01,true,0.022516261
0.135,false,0.022250804,0.015,true,0.023413898
0.31,false,0.022266142,0.02,true,0.023391962
0.095,false,0.022048351,0.015,true,0.022437716
