H0_KCI_p,H0_KCI_rej,H0_KCI_time,H0_CP_p,H0_CP_rej,H0_CP_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time,H1_CP_p,H1_CP_rej,H1_CP_time
0.17,false,5.114559835,0.5771144278606966,false,3.416091479,0.0,true,0.004626432,0.004975124378109453,true,0.496141887
0.32,false,0.00505714,0.9900497512437811,false,0.477376127,0.285,false,0.004550475,0.004975124378109453,true,0.453234636
0.185,false,0.004754625,0.208955223880597,false,0.461949666,0.0,true,0.004748683,0.004975124378109453,true,0.46161891
0.38,false,0.00527163,0.527363184079602,false,0.466249466,0.0,true,0.004561253,0.004975124378109453,true,0.43046558
0.635,false,0.005144227,0.6417910447761194,false,0.466446235,0.435,false,0.004523551,0.009950248756218905,true,0.4456434
0.235,false,0.005990547,0.572139303482587,false,0.471008799,0.0,true,0.004603617,0.004975124378109453,true,0.430580114
0.18,false,0.004294963,0.6766169154228856,false,0.493067821,0.0,true,0.004567015,0.004975124378109453,true,0.486565509
0.115,false,0.005586786,0.19402985074626866,false,0.4705625,0.025,true,0.004705476,0.004975124378109453,true,0.431444666
0.135,false,0.005187425,0.15422885572139303,false,0.466055272,0.225,false,0.004601632,0.004975124378109453,true,0.446685382
0.55,false,0.005043577,0.7562189054726368,false,0.469042333,0.0,true,0.004579501,0.004975124378109453,true,0.431541007
0.295,false,0.004626678,0.024875621890547265,true,0.457279332,0.14,false,0.005503362,0.004975124378109453,true,0.453453682
0.285,false,0.005194173,0.6915422885572139,false,0.464225496,0.01,true,0.004440008,0.004975124378109453,true,0.457313402
0.265,false,0.005068525,0.44776119402985076,false,0.467828064,0.0,true,0.00603153,0.004975124378109453,true,0.487290641
0.425,false,0.004768439,0.8159203980099502,false,0.456126871,0.005,true,0.004547843,0.009950248756218905,true,0.443411816
0.2,false,0.004515767,0.8756218905472637,false,0.457829923,0.0,true,0.005454852,0.004975124378109453,true,0.442405862
0.37,false,0.005037116,0.19402985074626866,false,0.465182999,0.03,true,0.004493025,0.004975124378109453,true,0.441197669
0.28,false,0.005313751,0.5174129353233831,false,0.465399602,0.015,true,0.005303321,0.004975124378109453,true,0.438276378
0.275,false,0.004618214,0.3880597014925373,false,0.45511813,0.0,true,0.004555493,0.004975124378109453,true,0.414757183
0.435,false,0.004711106,0.8059701492537313,false,0.45650241,0.0,true,0.020725139,0.004975124378109453,true,0.43065628
0.68,false,0.004939117,0.06467661691542288,false,0.466062417,0.0,true,0.004568127,0.004975124378109453,true,0.446005539
0.17,false,0.004618429,0.8855721393034826,false,0.462902032,0.0,true,0.00468257,0.004975124378109453,true,0.432288467
0.405,false,0.00525021,0.7263681592039801,false,0.464177775,0.0,true,0.004700563,0.004975124378109453,true,0.447965789
0.445,false,0.004818259,0.5373134328358209,false,0.465340624,0.0,true,0.004711979,0.004975124378109453,true,0.433187378
0.275,false,0.004572287,0.9154228855721394,false,0.460027526,0.0,true,0.005101545,0.004975124378109453,true,0.47744553
0.595,false,0.00496002,0.572139303482587,false,0.484585858,0.01,true,0.004562531,0.004975124378109453,true,0.419368021
0.725,false,0.004794104,0.9900497512437811,false,0.482649316,0.125,false,0.004665157,0.004975124378109453,true,0.445553829
0.66,false,0.005313959,0.8009950248756219,false,0.484573187,0.0,true,0.004618791,0.004975124378109453,true,0.428244417
0.305,false,0.005011782,0.6417910447761194,false,0.466604988,0.0,true,0.004602118,0.004975124378109453,true,0.443331731
0.09,false,0.004434189,0.3034825870646766,false,0.453904565,0.0,true,0.00450043,0.004975124378109453,true,0.4313801
0.505,false,0.004992247,0.42786069651741293,false,0.462442286,0.0,true,0.004636813,0.004975124378109453,true,0.444817469
0.095,false,0.004601161,0.39303482587064675,false,0.453552674,0.29,false,0.004507546,0.03980099502487562,true,0.429442294
0.28,false,0.005264648,0.26865671641791045,false,0.462247446,0.0,true,0.004723242,0.004975124378109453,true,0.43413898
0.19,false,0.004793378,0.06467661691542288,false,0.46572923,0.12,false,0.004485009,0.004975124378109453,true,0.429095679
0.05,true,0.0045652,0.11940298507462686,false,0.456342701,0.0,true,0.004656413,0.004975124378109453,true,0.447231975
0.23,false,0.004902244,0.13432835820895522,false,0.491071279,0.0,true,0.004325463,0.004975124378109453,true,0.457340172
0.595,false,0.004699052,0.7960199004975125,false,0.467842884,0.005,true,0.005063489,0.004975124378109453,true,0.457137072
0.435,false,0.005085114,0.5373134328358209,false,0.4684106,0.0,true,0.004606008,0.004975124378109453,true,0.429608239
0.23,false,0.004656151,0.7213930348258707,false,0.460662318,0.015,true,0.004712815,0.004975124378109453,true,0.44622374
0.085,false,0.005008208,0.1890547263681592,false,0.462518257,0.0,true,0.004477914,0.004975124378109453,true,0.438545905
0.355,false,0.004548082,0.2935323383084577,false,0.469415386,0.0,true,0.004397886,0.004975124378109453,true,0.468753592
0.1,false,0.005008213,0.4626865671641791,false,0.464634477,0.005,true,0.0047857,0.004975124378109453,true,0.440114733
0.22,false,0.004510323,0.5572139303482587,false,0.470196496,0.0,true,0.004403544,0.004975124378109453,true,0.445614736
0.09,false,0.004271639,0.38308457711442784,false,0.442715704,0.0,true,0.004452363,0.004975124378109453,true,0.422498021
0.135,false,0.004471737,0.07960199004975124,false,0.455139608,0.0,true,0.004507895,0.004975124378109453,true,0.434971644
0.16,false,0.004532137,0.21890547263681592,false,0.458405883,0.0,true,0.004546109,0.004975124378109453,true,0.430985926
0.105,false,0.004490255,0.1691542288557214,false,0.469907241,0.0,true,0.004542422,0.004975124378109453,true,0.457513799
0.135,false,0.004712811,0.05472636815920398,false,0.457154356,0.01,true,0.005160102,0.004975124378109453,true,0.428772566
0.165,false,0.004579606,0.5572139303482587,false,0.467707415,0.0,true,0.004497524,0.004975124378109453,true,0.42031349
0.335,false,0.0049058,0.3333333333333333,false,0.488299325,0.0,true,0.004457922,0.004975124378109453,true,0.436801511
0.23,false,0.004590487,0.2935323383084577,false,0.494703002,0.0,true,0.004463855,0.004975124378109453,true,0.418481569
0.045,true,0.005277408,0.8955223880597015,false,0.459096817,0.005,true,0.004560548,0.004975124378109453,true,0.436192432
0.355,false,0.004550773,0.27860696517412936,false,0.454918301,0.0,true,0.004468099,0.004975124378109453,true,0.429237863
0.32,false,0.004996525,0.7711442786069652,false,0.497196113,0.0,true,0.004949134,0.004975124378109453,true,0.473194786
0.165,false,0.004778665,0.4577114427860697,false,0.458429173,0.03,true,0.004678641,0.004975124378109453,true,0.444839004
0.24,false,0.0046793,0.1890547263681592,false,0.46537819,0.02,true,0.006033888,0.004975124378109453,true,0.460204947
0.24,false,0.004553669,0.6915422885572139,false,0.478797595,0.0,true,0.004578961,0.004975124378109453,true,0.443863894
0.165,false,0.004698783,0.04477611940298507,true,0.465481114,0.0,true,0.005411005,0.004975124378109453,true,0.473226988
0.195,false,0.004499386,0.8606965174129353,false,0.454043434,0.135,false,0.004739843,0.004975124378109453,true,0.456704751
0.13,false,0.004637539,0.35323383084577115,false,0.454056534,0.0,true,0.004855768,0.004975124378109453,true,0.473034755
0.3,false,0.00481259,0.014925373134328358,true,0.463841242,0.0,true,0.004453186,0.004975124378109453,true,0.450649875
0.175,false,0.004541555,0.13930348258706468,false,0.451859244,0.0,true,0.004513389,0.004975124378109453,true,0.447219667
0.4,false,0.004672701,0.417910447761194,false,0.465399749,0.0,true,0.004818417,0.004975124378109453,true,0.452015301
0.7,false,0.004657515,0.9900497512437811,false,0.459950088,0.0,true,0.0049198,0.004975124378109453,true,0.469760039
0.005,true,0.004634935,0.009950248756218905,true,0.453734202,0.0,true,0.004861849,0.004975124378109453,true,0.43268755
0.155,false,0.004910041,0.4129353233830846,false,0.463989055,0.03,true,0.004569848,0.004975124378109453,true,0.455049369
0.265,false,0.00450074,0.8407960199004975,false,0.456718151,0.0,true,0.004772097,0.004975124378109453,true,0.444850999
0.46,false,0.004603159,0.2885572139303483,false,0.491268331,0.0,true,0.00485424,0.004975124378109453,true,0.467336422
