H0_2SMMD_p,H0_2SMMD_rej,H0_2SMMD_time,H0_MMD_p,H0_MMD_rej,H0_MMD_time,H0_MMD-par_p,H0_MMD-par_rej,H0_MMD-par_time,H0_NMMD_p,H0_NMMD_rej,H0_NMMD_time,H1_2SMMD_p,H1_2SMMD_rej,H1_2SMMD_time,H1_MMD_p,H1_MMD_rej,H1_MMD_time,H1_MMD-par_p,H1_MMD-par_rej,H1_MMD-par_time,H1_NMMD_p,H1_NMMD_rej,H1_NMMD_time
0.3333333333333333,false,4.836624662,0.48258706467661694,false,4.103774527,0.07462686567164178,false,2.63639239,0.1791044776119403,false,4.545608181,0.004975124378109453,true,0.55208281,0.004975124378109453,true,2.591762487,0.004975124378109453,true,2.56797985,0.009950248756218905,true,0.264166543
0.6567164179104478,false,0.571160524,0.4079601990049751,false,3.198093755,0.5472636815920398,false,2.684697282,0.29850746268656714,false,0.275876112,0.004975124378109453,true,0.547803889,0.004975124378109453,true,2.580161463,0.004975124378109453,true,2.570911363,0.23383084577114427,false,0.25813419
0.4427860696517413,false,0.563580259,0.9502487562189055,false,2.580604817,0.9950248756218906,false,2.576120194,0.04477611940298507,true,0.26804555,0.004975124378109453,true,0.561578506,0.004975124378109453,true,2.720700078,0.004975124378109453,true,2.585015695,0.12437810945273632,false,0.269430686
0.7164179104477612,false,0.547971739,0.6865671641791045,false,2.623654462,0.3383084577114428,false,2.783641435,0.15920398009950248,false,0.265193118,0.009950248756218905,true,0.549522505,0.004975124378109453,true,2.578510058,0.004975124378109453,true,2.564768887,0.6268656716417911,false,0.264121239
0.6368159203980099,false,0.561805722,0.19900497512437812,false,2.79306381,0.31840796019900497,false,2.892534902,0.12935323383084577,false,0.337689343,0.004975124378109453,true,0.548701916,0.009950248756218905,true,2.579048005,0.004975124378109453,true,2.569788108,0.8258706467661692,false,0.257856232
0.2736318407960199,false,0.594882133,0.47761194029850745,false,3.08268023,0.15920398009950248,false,2.810212756,1.0,false,0.397070502,0.004975124378109453,true,0.556874825,0.004975124378109453,true,2.572593425,0.004975124378109453,true,2.573081442,0.8159203980099502,false,0.259430411
0.34328358208955223,false,0.584592235,0.7412935323383084,false,2.585641796,0.7960199004975125,false,2.712562756,0.31840796019900497,false,0.263357981,0.004975124378109453,true,0.557374282,0.004975124378109453,true,2.577265387,0.004975124378109453,true,2.565308127,0.8208955223880597,false,0.265112408
0.20398009950248755,false,0.559877627,0.2935323383084577,false,2.751004433,0.7164179104477612,false,3.106095282,0.5870646766169154,false,0.337907643,0.004975124378109453,true,0.547408053,0.004975124378109453,true,2.578166569,0.004975124378109453,true,2.569383843,0.04477611940298507,true,0.257525325
0.7213930348258707,false,0.58126925,0.19900497512437812,false,2.610236344,0.4925373134328358,false,2.586734188,0.6616915422885572,false,0.263798451,0.004975124378109453,true,0.557890983,0.004975124378109453,true,2.57148022,0.004975124378109453,true,2.569204331,0.05472636815920398,false,0.258403258
0.4577114427860697,false,0.561122498,0.4975124378109453,false,2.589032828,0.29850746268656714,false,2.569131678,0.527363184079602,false,0.264417633,0.06467661691542288,false,0.557139353,0.004975124378109453,true,2.575127798,0.004975124378109453,true,2.568664559,0.6467661691542289,false,0.265756422
0.5572139303482587,false,0.550288358,0.15920398009950248,false,2.586081079,0.23383084577114427,false,3.089365422,0.8955223880597015,false,0.404116935,0.004975124378109453,true,0.549802211,0.004975124378109453,true,2.583689843,0.004975124378109453,true,2.564824925,0.0945273631840796,false,0.263826966
0.1691542288557214,false,0.619948305,0.6218905472636815,false,2.589029098,0.6865671641791045,false,2.570770113,0.263681592039801,false,0.257089134,0.004975124378109453,true,0.548046216,0.004975124378109453,true,2.579134273,0.004975124378109453,true,2.5704031,0.5671641791044776,false,0.25862657
0.4577114427860697,false,0.558812134,0.9751243781094527,false,2.582484376,0.8109452736318408,false,2.576690877,0.4427860696517413,false,0.26436168,0.004975124378109453,true,0.556975748,0.004975124378109453,true,2.570261222,0.004975124378109453,true,2.568161903,0.004975124378109453,true,0.26760928
0.6865671641791045,false,0.621802771,0.7910447761194029,false,2.697019348,0.945273631840796,false,2.570055851,0.9552238805970149,false,0.257774102,0.004975124378109453,true,0.546853414,0.004975124378109453,true,2.577389966,0.004975124378109453,true,2.565123812,0.12437810945273632,false,0.264203553
0.26865671641791045,false,0.558745327,0.8208955223880597,false,2.621218146,0.2537313432835821,false,2.570492993,0.5870646766169154,false,0.267223238,0.004975124378109453,true,0.547405325,0.004975124378109453,true,2.579112668,0.004975124378109453,true,2.569792759,0.03482587064676617,true,0.25793508
0.44776119402985076,false,0.558828016,0.2885572139303483,false,2.59007765,0.4975124378109453,false,2.931405192,0.5323383084577115,false,0.270714048,0.004975124378109453,true,0.557507499,0.004975124378109453,true,2.59777678,0.004975124378109453,true,2.569193803,0.03980099502487562,true,0.260721955
0.6716417910447762,false,0.548919175,0.681592039800995,false,2.584250961,0.7313432835820896,false,2.571934412,0.9552238805970149,false,0.26154985,0.004975124378109453,true,0.557079421,0.004975124378109453,true,2.595997939,0.004975124378109453,true,2.568173459,0.14925373134328357,false,0.265466046
0.7860696517412935,false,0.559844032,0.46766169154228854,false,3.215183693,0.7114427860696517,false,2.776994428,0.7562189054726368,false,0.338255978,0.004975124378109453,true,0.549013189,0.004975124378109453,true,2.578509956,0.004975124378109453,true,2.570278344,0.8905472636815921,false,0.25757573
