Test,H0_n50_avgtime,H0_n50_rej,H0_n50_rej_sd,H1_n50_avgtime,H1_n50_rej,H1_n50_rej_sd,H0_n100_avgtime,H0_n100_rej,H0_n100_rej_sd,H1_n100_avgtime,H1_n100_rej,H1_n100_rej_sd,H0_n200_avgtime,H0_n200_rej,H0_n200_rej_sd,H1_n200_avgtime,H1_n200_rej,H1_n200_rej_sd,H0_n400_avgtime,H0_n400_rej,H0_n400_rej_sd,H1_n400_avgtime,H1_n400_rej,H1_n400_rej_sd
2SMMD,0.024617508178000017,0.04,0.0061967733539318665,0.022878284034999988,0.271,0.014055568291606,0.08482067973300017,0.053,0.00708456067798138,0.08990077297499992,0.526,0.01578999683343857,0.3169604351729998,0.041,0.006270486424512854,0.2960851285230002,0.87,0.010634848376916336,1.1367776390819992,0.04,0.0061967733539318665,1.1610482982920003,0.993,0.002636474919281427
MMD,0.19252082670199988,0.054,0.007147307185227175,0.18106404907899984,0.496,0.01581088232832058,0.5396609036410004,0.067,0.007906389820898032,0.5333132236619996,0.809,0.012430567163247216,1.6706227544009993,0.05,0.006892024376045111,1.6599154195159993,0.984,0.00396787096564392,5.8696264668759905,0.037,0.005969170796685248,6.068076220568999,1.0,0.0
NMMD,0.14876603282600012,0.043,0.006414904519944158,0.13083193916299984,0.17,0.011878552100319299,0.2457268335030001,0.058,0.007391616873188166,0.23898621592300004,0.337,0.014947608504372866,0.48823129361599976,0.051,0.00695693898205238,0.483955495645,0.896,0.009653186002558947,1.0481958854230007,0.052,0.007021111023192838,1.051596495689999,0.997,0.0017294507798720387
CW,0.13248824275,0.075,0.008329165624478841,0.11532203597300003,0.442,0.01570464899321217,0.24998860295599998,0.072,0.008174105455644672,0.24308117378200025,0.7,0.014491376746189439,0.5135992439260001,0.068,0.007960904471226871,0.5106671006450003,0.935,0.0077958322198467015,1.011797300096,0.064,0.007739767438366608,1.0398528744759994,0.994,0.002442130217658347
