H0_KCI_p,H0_KCI_rej,H0_KCI_time,H0_CP_p,H0_CP_rej,H0_CP_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time,H1_CP_p,H1_CP_rej,H1_CP_time
0.18,false,0.094028905,0.004975124378109453,true,1.435027294,0.005,true,0.020728112,0.004975124378109453,true,1.38425851
0.14,false,0.020968469,0.6766169154228856,false,1.395087675,0.0,true,0.019689075,0.004975124378109453,true,1.354918721
0.205,false,0.021460527,0.8159203980099502,false,1.379890644,0.0,true,0.020385989,0.004975124378109453,true,1.352948048
0.205,false,0.021634473,0.004975124378109453,true,1.377026201,0.01,true,0.020219861,0.009950248756218905,true,1.354143347
0.16,false,0.031028398,0.8407960199004975,false,1.400370466,0.01,true,0.01958563,0.004975124378109453,true,1.35387612
0.17,false,0.021167764,0.8009950248756219,false,1.377841574,0.0,true,0.020483926,0.004975124378109453,true,1.353653299
0.165,false,0.021077608,0.36318407960199006,false,1.377352477,0.005,true,0.020160798,0.004975124378109453,true,1.353804578
0.17,false,0.031577015,0.4079601990049751,false,1.379470196,0.02,true,0.019755119,0.004975124378109453,true,1.37164211
0.175,false,0.020988431,0.7810945273631841,false,1.394121981,0.01,true,0.019823339,0.004975124378109453,true,1.35489779
0.215,false,0.020820454,0.47761194029850745,false,1.378114008,0.01,true,0.019815444,0.004975124378109453,true,1.353336191
0.145,false,0.020964554,0.5024875621890548,false,1.419916374,0.01,true,0.020377431,0.004975124378109453,true,1.353778355
0.2,false,0.021458971,0.6616915422885572,false,1.376145557,0.01,true,0.020522183,0.004975124378109453,true,1.377572255
0.19,false,0.021088224,0.845771144278607,false,1.382073072,0.0,true,0.021103569,0.004975124378109453,true,1.343029723
0.175,false,0.032132011,0.5771144278606966,false,1.377868545,0.02,true,0.029251045,0.004975124378109453,true,1.345811089
0.17,false,0.021902855,0.48756218905472637,false,1.390041308,0.005,true,0.030409718,0.004975124378109453,true,1.34673976
0.175,false,0.021246375,0.1890547263681592,false,1.38714571,0.0,true,0.02082447,0.004975124378109453,true,1.352757731
0.125,false,0.031503725,0.208955223880597,false,1.376546289,0.0,true,0.020385838,0.004975124378109453,true,1.351163439
0.185,false,0.021778633,0.5024875621890548,false,1.379940579,0.0,true,0.020258598,0.004975124378109453,true,1.356004457
0.19,false,0.020802664,0.3283582089552239,false,1.389029456,0.0,true,0.020206519,0.004975124378109453,true,1.36259301
0.17,false,0.020826059,0.4626865671641791,false,1.394803763,0.005,true,0.019740789,0.004975124378109453,true,1.358209004
0.18,false,0.020365913,0.5671641791044776,false,1.41542008,0.0,true,0.020361836,0.004975124378109453,true,1.352352969
0.15,false,0.023568738,0.4427860696517413,false,1.386332058,0.0,true,0.019842288,0.004975124378109453,true,1.352836579
0.085,false,0.02103275,0.39303482587064675,false,1.39015703,0.005,true,0.020678824,0.004975124378109453,true,1.408667111
0.225,false,0.030912275,0.014925373134328358,true,1.419024684,0.0,true,0.020571374,0.004975124378109453,true,1.343566455
0.12,false,0.021010513,0.9154228855721394,false,1.374417523,0.0,true,0.029545363,0.004975124378109453,true,1.347265359
0.125,false,0.021652191,0.6567164179104478,false,1.38157239,0.0,true,0.020954073,0.004975124378109453,true,1.352184297
0.14,false,0.021212268,0.43283582089552236,false,1.396095882,0.005,true,0.019990011,0.004975124378109453,true,1.387497141
0.235,false,0.030887375,0.03980099502487562,true,1.42287832,0.005,true,0.020303882,0.004975124378109453,true,1.352339388
0.16,false,0.020995949,0.43781094527363185,false,1.377699321,0.0,true,0.020132493,0.004975124378109453,true,1.352057135
0.215,false,0.021119079,0.03980099502487562,true,1.379494368,0.005,true,0.020120979,0.004975124378109453,true,1.343181646
0.195,false,0.021737775,0.8706467661691543,false,1.475698356,0.015,true,0.029719777,0.004975124378109453,true,1.39483972
0.225,false,0.020824035,0.6169154228855721,false,1.401136945,0.04,true,0.020194814,0.004975124378109453,true,1.350882162
0.245,false,0.021197746,0.32338308457711445,false,1.378118802,0.01,true,0.020530432,0.004975124378109453,true,1.351619906
0.22,false,0.021184296,0.31343283582089554,false,1.386868819,0.005,true,0.020078315,0.004975124378109453,true,1.356357289
0.145,false,0.021040863,0.9353233830845771,false,1.378670758,0.015,true,0.020578455,0.004975124378109453,true,1.353395247
0.19,false,0.021514959,0.8009950248756219,false,1.379772828,0.005,true,0.019713916,0.004975124378109453,true,1.346040456
0.14,false,0.021077648,0.3383084577114428,false,1.385462596,0.005,true,0.029166745,0.004975124378109453,true,1.34386905
0.2,false,0.020816736,0.9154228855721394,false,1.398616288,0.0,true,0.01978916,0.004975124378109453,true,1.365968194
0.215,false,0.021183361,0.417910447761194,false,1.380742989,0.0,true,0.020204164,0.004975124378109453,true,1.352324205
0.195,false,0.021140884,0.16417910447761194,false,1.37646171,0.005,true,0.02062672,0.004975124378109453,true,1.351457434
0.17,false,0.021408705,0.6517412935323383,false,1.372838493,0.005,true,0.020356671,0.004975124378109453,true,1.342799065
0.18,false,0.020899765,0.5572139303482587,false,1.396386026,0.0,true,0.020194484,0.004975124378109453,true,1.352908173
0.12,false,0.031966247,0.17412935323383086,false,1.422866701,0.005,true,0.020141143,0.004975124378109453,true,1.365640278
0.19,false,0.02330008,0.9850746268656716,false,1.377065088,0.0,true,0.019706653,0.004975124378109453,true,1.355542625
0.125,false,0.02170756,0.31343283582089554,false,1.375590391,0.0,true,0.020310923,0.01990049751243781,true,1.35541761
0.275,false,0.021522905,0.19402985074626866,false,1.391702107,0.0,true,0.020749151,0.004975124378109453,true,1.361235963
0.13,false,0.02033825,0.8805970149253731,false,1.373516104,0.005,true,0.019877822,0.004975124378109453,true,1.352498851
0.16,false,0.021088613,0.19900497512437812,false,1.375860464,0.01,true,0.020041849,0.004975124378109453,true,1.351857872
0.195,false,0.020565408,0.3482587064676617,false,1.431062949,0.0,true,0.019929378,0.004975124378109453,true,1.374860247
0.215,false,0.032976835,0.26865671641791045,false,1.378905991,0.0,true,0.020812302,0.004975124378109453,true,1.355212324
0.13,false,0.020946929,0.9104477611940298,false,1.374861156,0.01,true,0.020741404,0.004975124378109453,true,1.353504368
0.165,false,0.021281551,0.8208955223880597,false,1.377536212,0.0,true,0.020384055,0.004975124378109453,true,1.343835856
0.14,false,0.020911774,0.8955223880597015,false,1.412619059,0.005,true,0.029037275,0.004975124378109453,true,1.366995509
0.17,false,0.020566624,0.9850746268656716,false,1.373358948,0.005,true,0.020460591,0.004975124378109453,true,1.353544958
0.165,false,0.020651043,0.4577114427860697,false,1.377590854,0.0,true,0.02034485,0.004975124378109453,true,1.343085763
0.155,false,0.020991471,0.014925373134328358,true,1.385144359,0.0,true,0.029522372,0.004975124378109453,true,1.353782221
0.145,false,0.021090821,0.835820895522388,false,1.384121077,0.005,true,0.020213961,0.004975124378109453,true,1.394607873
0.145,false,0.021571809,0.5024875621890548,false,1.377635663,0.005,true,0.020376246,0.004975124378109453,true,1.353449836
0.255,false,0.031532647,0.48258706467661694,false,1.36745086,0.0,true,0.020135412,0.004975124378109453,true,1.344136139
0.16,false,0.031674545,0.14427860696517414,false,1.397208089,0.005,true,0.020374491,0.004975124378109453,true,1.364035753
0.19,false,0.032554621,0.08955223880597014,false,1.378208859,0.0,true,0.020939774,0.004975124378109453,true,1.355140477
0.215,false,0.020804479,0.3482587064676617,false,1.381495497,0.005,true,0.01978778,0.004975124378109453,true,1.344526415
0.23,false,0.022005095,0.27860696517412936,false,1.382611789,0.0,true,0.020930382,0.014925373134328358,true,1.353766032
0.12,false,0.02061306,0.6567164179104478,false,1.444327046,0.005,true,0.019753262,0.004975124378109453,true,1.416008856
0.225,false,0.021354974,0.03482587064676617,true,1.37872155,0.0,true,0.030185347,0.004975124378109453,true,1.346559609
0.17,false,0.021037997,0.417910447761194,false,1.382390141,0.0,true,0.020420217,0.004975124378109453,true,1.353032602
0.115,false,0.020679198,0.8805970149253731,false,1.3795132,0.0,true,0.020046334,0.004975124378109453,true,1.350075674
0.21,false,0.020362258,0.6616915422885572,false,1.375383444,0.0,true,0.020197162,0.004975124378109453,true,1.361089219
0.18,false,0.021121481,0.47761194029850745,false,1.376179223,0.0,true,0.02063405,0.004975124378109453,true,1.353489521
0.155,false,0.020742844,0.945273631840796,false,1.379712776,0.005,true,0.019764694,0.004975124378109453,true,1.343608708
