Test,H0_M1_avgtime,H0_M1_rej,H0_M1_rej_sd,H1_M1_avgtime,H1_M1_rej,H1_M1_rej_sd,H0_M2_avgtime,H0_M2_rej,H0_M2_rej_sd,H1_M2_avgtime,H1_M2_rej,H1_M2_rej_sd,H0_M3_avgtime,H0_M3_rej,H0_M3_rej_sd,H1_M3_avgtime,H1_M3_rej,H1_M3_rej_sd,H0_M4_avgtime,H0_M4_rej,H0_M4_rej_sd,H1_M4_avgtime,H1_M4_rej,H1_M4_rej_sd,H0_M5_avgtime,H0_M5_rej,H0_M5_rej_sd,H1_M5_avgtime,H1_M5_rej,H1_M5_rej_sd
MMD,0.869329763658999,0.048,0.006759881655768835,0.8401514049559994,0.971,0.005306505441436956,1.6444290138790012,0.055,0.00720936890441875,1.6508187764000017,0.986,0.0037153734670958734,3.1163888710129983,0.048,0.006759881655768835,3.2070032380960005,0.995,0.002230470802319547,4.8886136639949935,0.055,0.00720936890441875,4.887288801228004,0.994,0.002442130217658347,6.907189098342,0.052,0.007021111023192838,7.404575568980997,0.995,0.002230470802319547
NMMD,0.37324896292099974,0.043,0.006414904519944158,0.3609937618549999,0.829,0.011906258858264422,0.4374763625620005,0.038,0.006046155803483731,0.4407779788370004,0.896,0.009653186002558947,0.6761121745320009,0.041,0.006270486424512854,0.7002156538690003,0.916,0.008771772910877251,0.841778399272,0.048,0.006759881655768835,0.8412063463889993,0.918,0.008676174272108645,0.9781998969570007,0.035,0.005811626278418116,1.0577343535829982,0.929,0.008121514637061239
CW,0.36873173369199996,0.066,0.007851369307324678,0.3629652483280004,0.851,0.011260506205317771,0.4555637499209995,0.056,0.007270763371201128,0.45993175002599934,0.944,0.007270763371201131,0.6905665727950001,0.057,0.007331507348424334,0.7106185283500004,0.972,0.005216895628628201,0.8504397204380006,0.055,0.00720936890441875,0.8480361755819996,0.975,0.004937104414532877,0.9815052338519997,0.047,0.006692607862410586,1.0500163811039993,0.979,0.00453420334788814
