jinv_disc_2SMMD_p,jinv_disc_2SMMD_rej,jinv_disc_2SMMD_time,jinv_disc_MMD_p,jinv_disc_MMD_rej,jinv_disc_MMD_time,jinv_disc_NMMD_p,jinv_disc_NMMD_rej,jinv_disc_NMMD_time,jinv_disc_CW_p,jinv_disc_CW_rej,jinv_disc_CW_time,jinv_cont_2SMMD_p,jinv_cont_2SMMD_rej,jinv_cont_2SMMD_time,jinv_cont_MMD_p,jinv_cont_MMD_rej,jinv_cont_MMD_time,jinv_cont_NMMD_p,jinv_cont_NMMD_rej,jinv_cont_NMMD_time,jinv_cont_CW_p,jinv_cont_CW_rej,jinv_cont_CW_time
0.3333333333333333,false,3.2554195,0.004975124378109453,true,3.844319111,0.27860696517412936,false,5.16355489,0.004975124378109453,true,3.38516939,0.263681592039801,false,0.821927388,0.004975124378109453,true,2.82737087,0.0945273631840796,false,0.375143116,0.004975124378109453,true,0.335630431
0.572139303482587,false,0.858931047,0.009950248756218905,true,2.73299858,0.3582089552238806,false,0.42136631,0.07960199004975124,false,0.349641556,0.6965174129353234,false,0.82591915,0.014925373134328358,true,2.805092887,0.3283582089552239,false,0.367853002,0.07462686567164178,false,0.323536044
0.8208955223880597,false,0.831835289,0.014925373134328358,true,2.731904258,0.8955223880597015,false,0.419364088,0.009950248756218905,true,0.341718052,0.7711442786069652,false,0.827640478,0.004975124378109453,true,2.753289766,0.263681592039801,false,0.374199817,0.004975124378109453,true,0.311149672
0.5970149253731343,false,0.838097061,0.004975124378109453,true,2.754719524,0.263681592039801,false,0.442193507,0.004975124378109453,true,0.351680668,0.5074626865671642,false,0.832351069,0.004975124378109453,true,2.795926592,0.27860696517412936,false,0.368128386,0.009950248756218905,true,0.320084553
0.6517412935323383,false,0.853028088,0.004975124378109453,true,2.805236823,0.6019900497512438,false,0.409425472,0.05472636815920398,false,0.355282145,0.19402985074626866,false,0.834021044,0.009950248756218905,true,2.793641905,0.38308457711442784,false,0.372780747,0.05472636815920398,false,0.345306723
0.6666666666666666,false,0.839100626,0.004975124378109453,true,2.762319296,0.4626865671641791,false,0.424588956,0.01990049751243781,true,0.346488596,0.4427860696517413,false,0.823603161,0.004975124378109453,true,2.831427766,0.27860696517412936,false,0.371040394,0.01990049751243781,true,0.340190265
0.1890547263681592,false,0.857925705,0.004975124378109453,true,2.758973211,0.08955223880597014,false,0.424448064,0.004975124378109453,true,0.343284161,0.46766169154228854,false,0.815770245,0.004975124378109453,true,2.726737019,0.2835820895522388,false,0.367700384,0.004975124378109453,true,0.329476684
0.3781094527363184,false,0.846535134,0.004975124378109453,true,2.764705034,0.029850746268656716,true,0.427467864,0.009950248756218905,true,0.345648056,0.3681592039800995,false,0.82705736,0.004975124378109453,true,2.795501475,0.17412935323383086,false,0.37545968,0.014925373134328358,true,0.309213161
0.35323383084577115,false,0.837031715,0.004975124378109453,true,2.760109802,0.1890547263681592,false,0.417626114,0.009950248756218905,true,0.355897637,0.746268656716418,false,0.837376534,0.004975124378109453,true,2.794584253,0.2835820895522388,false,0.369215663,0.03482587064676617,true,0.314628334
0.39800995024875624,false,0.839287878,0.004975124378109453,true,2.749282862,0.5621890547263682,false,0.415886819,0.04975124378109453,true,0.356442637,0.6915422885572139,false,0.834707222,0.004975124378109453,true,2.794721436,0.004975124378109453,true,0.376938836,0.03980099502487562,true,0.32075707
0.7860696517412935,false,0.847010189,0.004975124378109453,true,2.768908569,0.42786069651741293,false,0.417229559,0.06965174129353234,false,0.357726014,0.22388059701492538,false,0.839969656,0.004975124378109453,true,2.831360282,0.07960199004975124,false,0.375625264,0.029850746268656716,true,0.34498643
0.21890547263681592,false,0.842259586,0.004975124378109453,true,2.793171443,0.7611940298507462,false,0.417735099,0.014925373134328358,true,0.357995697,0.6268656716417911,false,0.819726895,0.004975124378109453,true,2.788439418,0.3781094527363184,false,0.374312593,0.03482587064676617,true,0.342681313
0.5870646766169154,false,0.839988069,0.004975124378109453,true,2.801299943,0.22388059701492538,false,0.443874607,0.014925373134328358,true,0.345324748,0.3383084577114428,false,0.820989354,0.004975124378109453,true,2.774999775,0.6417910447761194,false,0.379455643,0.004975124378109453,true,0.335414951
0.20398009950248755,false,0.857256531,0.004975124378109453,true,2.744614444,0.3681592039800995,false,0.420680625,0.004975124378109453,true,0.345247244,0.7014925373134329,false,0.812282324,0.004975124378109453,true,2.741792821,0.2935323383084577,false,0.365374511,0.04477611940298507,true,0.331477551
0.6169154228855721,false,0.85711606,0.004975124378109453,true,2.753048466,0.04477611940298507,true,0.421818112,0.004975124378109453,true,0.339065279,0.39303482587064675,false,0.880791772,0.004975124378109453,true,2.834455086,0.208955223880597,false,0.379519095,0.22388059701492538,false,0.311702886
0.681592039800995,false,0.855070885,0.004975124378109453,true,2.741528975,0.1890547263681592,false,0.418549925,0.004975124378109453,true,0.351537744,0.30845771144278605,false,0.803370173,0.004975124378109453,true,2.750371583,0.4527363184079602,false,0.368428652,0.0945273631840796,false,0.313435333
0.22885572139303484,false,0.837383486,0.004975124378109453,true,2.765185981,0.11442786069651742,false,0.418915015,0.004975124378109453,true,0.350539845,0.31343283582089554,false,0.838195393,0.004975124378109453,true,2.846497915,0.0945273631840796,false,0.368029823,0.014925373134328358,true,0.31827149
0.32338308457711445,false,0.843064555,0.004975124378109453,true,2.743541879,0.7412935323383084,false,0.415464611,0.004975124378109453,true,0.344764051,0.48258706467661694,false,0.834162033,0.009950248756218905,true,2.791152157,0.03482587064676617,true,0.36683303,0.004975124378109453,true,0.323250264
