Test,H0_J2_avgtime,H0_J2_rej,H0_J2_rej_sd,H1_ind_J2_avgtime,H1_ind_J2_rej,H1_ind_J2_rej_sd,H1_SO4_J2_avgtime,H1_SO4_J2_rej,H1_SO4_J2_rej_sd,H0_J4_avgtime,H0_J4_rej,H0_J4_rej_sd,H1_ind_J4_avgtime,H1_ind_J4_rej,H1_ind_J4_rej_sd,H1_SO4_J4_avgtime,H1_SO4_J4_rej,H1_SO4_J4_rej_sd,H0_J6_avgtime,H0_J6_rej,H0_J6_rej_sd,H1_ind_J6_avgtime,H1_ind_J6_rej,H1_ind_J6_rej_sd,H1_SO4_J6_avgtime,H1_SO4_J6_rej,H1_SO4_J6_rej_sd,H0_J8_avgtime,H0_J8_rej,H0_J8_rej_sd,H1_ind_J8_avgtime,H1_ind_J8_rej,H1_ind_J8_rej_sd,H1_SO4_J8_avgtime,H1_SO4_J8_rej,H1_SO4_J8_rej_sd,H0_J10_avgtime,H0_J10_rej,H0_J10_rej_sd,H1_ind_J10_avgtime,H1_ind_J10_rej,H1_ind_J10_rej_sd,H1_SO4_J10_avgtime,H1_SO4_J10_rej,H1_SO4_J10_rej_sd,H0_J12_avgtime,H0_J12_rej,H0_J12_rej_sd,H1_ind_J12_avgtime,H1_ind_J12_rej,H1_ind_J12_rej_sd,H1_SO4_J12_avgtime,H1_SO4_J12_rej,H1_SO4_J12_rej_sd,H0_J14_avgtime,H0_J14_rej,H0_J14_rej_sd,H1_ind_J14_avgtime,H1_ind_J14_rej,H1_ind_J14_rej_sd,H1_SO4_J14_avgtime,H1_SO4_J14_rej,H1_SO4_J14_rej_sd,H0_J16_avgtime,H0_J16_rej,H0_J16_rej_sd,H1_ind_J16_avgtime,H1_ind_J16_rej,H1_ind_J16_rej_sd,H1_SO4_J16_avgtime,H1_SO4_J16_rej,H1_SO4_J16_rej_sd,H0_J18_avgtime,H0_J18_rej,H0_J18_rej_sd,H1_ind_J18_avgtime,H1_ind_J18_rej,H1_ind_J18_rej_sd,H1_SO4_J18_avgtime,H1_SO4_J18_rej,H1_SO4_J18_rej_sd,H0_J20_avgtime,H0_J20_rej,H0_J20_rej_sd,H1_ind_J20_avgtime,H1_ind_J20_rej,H1_ind_J20_rej_sd,H1_SO4_J20_avgtime,H1_SO4_J20_rej,H1_SO4_J20_rej_sd
NMMD,0.17997294128200014,0.05,0.006892024376045111,0.1719901180270001,0.05,0.006892024376045111,0.25448147411100003,0.07,0.008068457101577725,0.18359879926000014,0.045,0.0065555320150236475,0.18332755730700015,0.033,0.005648982209212559,0.26506644264999984,0.034,0.005730968504537431,0.1955804660670001,0.046,0.006624499981130651,0.19535793394400033,0.046,0.006624499981130651,0.27625623967500007,0.039,0.006122009474020765,0.21420234002199998,0.058,0.007391616873188166,0.21184077528600007,0.086,0.008865889690267977,0.2931042849889996,0.072,0.008174105455644672,0.224923464371,0.063,0.007683163410991596,0.22401088279599984,0.266,0.013972973913952606,0.3061922399689998,0.225,0.013205112646244258,0.24371528741400011,0.042,0.0063431853196954605,0.2451272964920003,0.641,0.01516967369457893,0.32749728513400017,0.636,0.015215255502291114,0.263938877049,0.041,0.006270486424512854,0.2680841403589995,0.933,0.007906389820898028,0.35006215493600035,0.941,0.007451107300260817,0.272548509512,0.045,0.0065555320150236475,0.27619448628399984,0.995,0.002230470802319547,0.3391965761020001,0.999,0.0009994998749374613,0.2606963513360001,0.042,0.0063431853196954605,0.2667409505230003,1.0,0.0,0.3529172087650001,1.0,0.0,0.2821568604689998,0.039,0.006122009474020765,0.2834265349879999,1.0,0.0,0.36596549147700014,1.0,0.0
CW,0.09975072601999997,0.036,0.005891010100144117,0.09784336494000016,0.867,0.010738295954200556,0.20172065273700027,0.913,0.008912407082264588,0.13489871608299997,0.052,0.007021111023192838,0.13473038209000002,0.936,0.007739767438366605,0.2548396701960002,0.977,0.004740358636221528,0.15213005083900014,0.044,0.006485676526007136,0.15194217009900018,0.962,0.006046155803483734,0.2696184963049999,0.997,0.0017294507798720387,0.1708047551699998,0.052,0.007021111023192838,0.17035572715800007,0.963,0.005969170796685251,0.2868590391600003,1.0,0.0,0.1852024354440001,0.053,0.00708456067798138,0.18588406888999998,0.973,0.005125524363418832,0.3007063397309997,0.999,0.0009994998749374613,0.2024168838759999,0.044,0.006485676526007136,0.20141421674700025,0.98,0.0044271887242357325,0.3150558460369998,0.999,0.0009994998749374613,0.2195123719129998,0.048,0.006759881655768835,0.22054282186699986,0.985,0.0038438262187565153,0.3313519376970004,0.998,0.0014127986409959495,0.23805121061399995,0.049,0.006826346021115542,0.23809558340900028,0.99,0.003146426544510456,0.32962567119200004,1.0,0.0,0.22363139701000007,0.048,0.006759881655768835,0.22400570484000024,0.979,0.00453420334788814,0.3345887642340001,1.0,0.0,0.24381281633499996,0.053,0.00708456067798138,0.2393239561419999,0.983,0.004087909000944127,0.34614661292700016,1.0,0.0
